a,b,c
-3.466981618949487309e-01,6.268882060422693858e-02,-5.046102449477448681e-01
-6.990668201647179947e-01,-2.277218141636292992e-01,-2.841324692321444134e-01
3.028621219263676334e-01,1.379795244758229289e-01,-5.506015195116622518e-01
-5.618244892285191305e-01,2.971646473284978579e-02,-2.819833218987390366e-01
-3.270924981082819483e-01,-6.306538790919133941e-01,-4.969376495414501993e-01
1.087793190288017353e+00,-7.420027199714976929e-01,-2.284783217818489309e-01
8.254275962618451423e-01,-2.999347711875584022e-01,8.092753964649090914e-02
6.097058276525886278e-01,7.868706379395576933e-01,1.125270703715268272e+00
6.475757798092857120e-01,-1.144233898202963617e+00,6.296795091232101904e-02
-2.854748173588632643e-01,9.881605103687887137e-01,1.232095524876226644e+00
-5.699243071401024485e-01,-1.683290515013355249e+00,-1.570454027436365196e+00
-2.284930420298590725e+00,6.903320334445604001e-01,3.812498789444417890e-01
-1.025664089324941075e-01,1.417655121464448609e+00,6.713237685073368544e-02
3.011430961726190292e-01,1.300926409632464420e+00,9.688073080209355092e-01
-5.537487850247084786e-01,7.239473090969725799e-01,9.590518300838959398e-01
4.515250675122370327e-01,1.166968915269281093e-01,-4.939443286117004006e-01
1.536977300289833037e+00,2.246469886354696133e-01,1.385783474098055912e+00
1.519223507048022559e-01,1.688407370541233909e+00,-8.560084524334551359e-01
6.257288802712802633e-01,8.770928029454407859e-01,4.950852864632815376e-01
4.485199841028119083e-01,-6.947547068212146515e-01,-1.288638882615272818e+00
-1.146983664007497739e+00,-4.406025607812577016e-01,-7.466632860756809986e-01
-1.789130106871920645e-01,3.015220216127749153e-01,2.360576725389096353e-02
