a,b,c
5.428534042013850591e-01,7.080010529531172159e-01,9.000430676747321890e-01
-6.998319532470157478e-01,-3.877339388340553805e-01,-1.379084383966474592e+00
2.058798009387746930e+00,2.192963213159523583e+00,1.610721595201510148e+00
1.012469218392501036e+00,-5.950211226285250232e-01,-7.971195384056428690e-01
-4.767532722048815064e-01,1.597455482391861858e+00,2.960545789430853864e-02
-2.104689887536336013e+00,3.815389042730489844e-01,-4.113477491303005329e-01
1.862678197413687453e+00,-1.201915281729344503e-01,1.466624871660562546e+00
3.092189340243841622e-01,-8.287724107502778548e-01,7.766631936364862265e-02
-2.023176023485672825e+00,-9.412226056274969332e-01,-1.781021779484909473e+00
2.519274774483969970e-01,4.519543363632420041e-01,7.208657522626763514e-01
4.379689442464084759e-01,1.672276762019693219e+00,6.974122599367876818e-01
1.083306630258834335e+00,1.388850792131338219e+00,6.818933688982620200e-01
1.255833263980259407e+00,1.555943815800644003e+00,1.100240182291546187e+00
2.362310525564915720e-01,-6.448730526176129629e-01,-5.179588652608753119e-01
-7.257383313389489943e-02,4.488336208614215894e-01,2.721175614864775882e-01
-1.869738201825994039e+00,-1.370925896637590347e+00,-2.113824522415135743e+00
-7.007284406467004789e-01,-1.057366174253671964e+00,-1.182621434873938560e+00
1.006468549748229940e-01,8.894150412490980928e-01,2.702071560338417111e-01
8.874794851000000762e-01,-6.094153930602767000e-01,2.941689730983069739e-01
7.733369918128512044e-01,-3.033755874934704888e-01,-1.469378009214681972e-02
-2.202269479328979429e+00,-1.905626445092754473e+00,-3.199699693390130495e+00
4.527837411941428025e-02,-1.743978532167036188e-01,-9.357779895587109431e-01
2.322881259778352803e+00,1.004927454943272735e+00,2.332108344204762707e-01
1.276948705192959277e-01,-3.204563977028344057e-01,6.280208949412079411e-01
1.699043400757764832e+00,1.494829319622200670e+00,7.587200705496920383e-01
4.852828528090750160e-01,1.439327355859084667e+00,1.750187724335616091e+00
-1.430630717536225949e-01,-6.107385631792545261e-02,8.118097754725691617e-01
1.320732083753315411e+00,7.638147362179111000e-02,5.912636441876056859e-01
1.572544058876245598e+00,-2.774049064664922404e-01,1.300868113196652354e-01
-3.162774808969051610e-01,3.728550644954604920e-02,-6.354819230309397549e-01
2.898784439830782156e-01,4.762888306836305374e-01,1.542496380506600540e-01
-1.241164902943911130e+00,-4.914986227564155374e-01,-1.579907936331668372e+00
1.388141673671040355e+00,7.011034175347653497e-01,1.232816084003917734e+00
9.002950486435777888e-01,1.134721844984341033e+00,5.495237819640751420e-01
5.868443530130943442e-01,6.322498601137536978e-02,-2.666127129147519148e-01
-2.680433045398542546e-01,2.017355791420360145e+00,8.380311483512922210e-01
5.261282685410080262e-01,-3.352729664010863919e-01,8.424271297223059202e-03
5.522717830865344485e-02,-2.701715455460755311e-01,-1.709941507033704289e+00
9.417606458013752513e-02,-2.282582527704783537e+00,7.784125307263244364e-01
7.119366107895976903e-01,-1.196413388734290706e+00,3.987233463060864680e-01
-1.081104480210489438e+00,-2.663498033434552603e+00,-3.565106428917906300e-01
-7.270653493804318801e-01,-4.296445461896233331e-01,-6.114732564808238457e-01
2.744247462709689667e-02,-2.322179373063451457e+00,-1.932177195312711371e+00
-1.065140721340215091e+00,2.865704281068707227e-01,-1.638013190756453019e+00
1.295385717583444618e-01,9.442947028887407335e-01,1.309092846145871736e+00
-2.035286427415710919e-01,1.478630157095915942e-01,8.836259945070590316e-01
-2.808989626686689833e-01,-6.208457701253071725e-01,-8.484742588562030688e-03
1.161629843048952893e+00,1.412359866586646362e+00,1.130284007721358286e+00
1.165082879672596272e+00,1.765209566877899761e+00,7.364401468581924237e-02
7.328950532238985571e-02,2.415844567146876454e-01,-5.491920111031177443e-02
1.385744290204706353e+00,5.460258630069297903e-01,1.337836955066211420e-01
8.604632799192566406e-01,1.443101285706929471e-01,-1.306636230127463348e-02
8.852728794697032333e-01,4.812201519777178360e-01,8.230378287533085535e-01
-1.799976645468891467e+00,1.822841504546963420e-01,-1.143295539290209328e+00
-5.585091510998113629e-01,-5.720117063149261077e-02,-1.343646142210807692e+00
7.276755499734030019e-01,-2.447024353778786687e-01,5.377533053805703123e-01
9.822142845784846976e-01,1.137680442812968457e-01,7.712896379026699112e-01
-4.000965909382873109e-01,-1.328419515183328681e+00,-5.165274753476952752e-01
-2.148961742162457805e-02,-5.136470073717531309e-02,-3.429938043896877953e-01
-1.615038536651714818e+00,-1.940997671126193591e+00,-1.943977932388198937e+00
1.208069083465822313e+00,1.729895297237947993e+00,1.828338113740355597e+00
2.365574365026812120e-01,1.824996698275881846e+00,1.402300628445753539e+00
